FIPS,Pollution,PopChar,Score,Percentile,Range,Region
06115041100,3.8684118712804465,3.7550986110167694,14.526268044685986,27.156912209889,26-30%,Other
06115041000,5.845567169824336,3.6685013811343885,21.444471236014415,45.10595358224016,46-50%,Other
06115040902,3.9572728505710293,4.890360703993279,19.35249164341203,40.300201816347126,41-45%,Other
06115040901,6.672250877171929,5.786650375830645,38.60998304602329,76.46316851664984,76-80%,Other
06115040800,5.550646257516535,5.443964872527461,30.217523245746033,62.44954591321898,61-65%,Other
06115040700,5.444770704118575,5.152961514313765,28.05669389258608,58.87991927346115,56-60%,Other
06115040600,4.238297863146175,7.005917059586633,29.69316330302536,61.71796165489405,61-65%,Other
06115040500,4.737491348651671,7.83695961445679,37.12752837322158,74.2936427850656,71-75%,Other
06115040400,6.294114374527284,7.794271426797417,49.05803582637291,89.44248234106963,86-90%,Other
06115040303,3.7951627203209775,6.539281937974372,24.81763902866865,52.48486377396569,51-55%,Other
06115040302,5.554430067219896,8.293249484911069,46.06427429394596,86.23864783047426,86-90%,Other
06115040301,4.325183420861972,8.722445751251179,37.72617775267955,75.17658930373359,76-80%,Other
06115040200,5.181645033923811,6.469251762496251,33.52136626834156,68.59233097880929,66-70%,Other
06115040100,6.795904837253924,7.322184687739148,49.760870338673094,90.07315842583249,91-95%,Other
06113011500,3.8864999562722287,4.677138752594368,18.17769955743716,37.28557013118062,36-40%,Other
06113011400,6.0246019314968695,5.531657594556995,33.326035028547395,68.22653884964683,66-70%,Other
06113011300,4.112490985839083,4.947307588304747,20.34575786107656,42.53279515640767,41-45%,Other
06113011206,6.2399981672575136,4.735999509877803,29.55262826176997,61.4656912209889,61-65%,Other
06113011205,2.1507587656807288,4.128242977408575,8.878854770521404,12.537840565085773,11-15%,Other
06113011204,3.0044404553549175,3.671378289195641,11.03043745897111,18.150857719475276,16-20%,Other
06113011203,2.2641578466330725,4.024959069413185,9.113142659388814,13.092835519677093,11-15%,Other
06113011103,2.2778335083517227,4.854921793014874,11.058703540556307,18.176084762865795,16-20%,Other
06113011102,3.3756339440346457,7.305617359669681,24.66108994142974,52.068617558022204,51-55%,Other
06113011101,3.6429878151891644,6.229529829155939,22.694101261972524,47.85570131180626,46-50%,Other
06113011002,2.4956409062812686,3.5122783383189797,8.765385495354446,12.247729566094852,11-15%,Other
06113011001,3.504977307913853,6.115986715506869,21.436394653354153,45.093340060544904,46-50%,Other
06113010902,3.3270187719937367,6.432307052610785,21.400406311263787,45.01765893037336,46-50%,Other
06113010901,3.1808439561939164,6.669216197131293,21.213736033195648,44.58879919273461,41-45%,Other
06113010800,4.7221091204120516,5.8213590891752425,27.489092848188005,57.63118062563068,56-60%,Other
06113010704,3.35352581670689,2.6711163504919533,8.957657640802655,12.689202825428861,11-15%,Other
06113010703,3.3593039506049966,4.595461441708838,15.437551775985431,29.79313824419778,26-30%,Other
06113010701,4.5747672731867075,4.005147792475298,18.32261904529198,37.651362260343085,36-40%,Other
06113010608,4.961441923270117,4.9650198324575925,24.633657546622672,51.967709384460136,51-55%,Other
06113010607,5.459556893537476,1.702028857755988,9.29232338336142,13.723511604439958,11-15%,Other
06113010606,4.871649250416978,2.28797575625178,11.146215377916205,18.41574167507568,16-20%,Other
06113010605,5.323524811182608,1.0053550960376139,5.352032797805111,5.070635721493441,6-10%,Other
06113010602,5.526117134110309,3.97300754585066,21.955305073074882,46.48082744702321,46-50%,Other
06113010513,2.6995503704662864,3.5455162839682997,9.571299797880874,14.32896064581231,11-15%,Other
06113010512,2.992855253006385,3.019417751948038,9.036680279938416,12.891019172552976,11-15%,Other
06113010511,2.5663822306133275,2.774943691493999,7.12156618080275,8.703329969727548,6-10%,Other
06113010510,4.019638161680013,3.4048235009822694,13.686158478333276,25.0,21-25%,Other
06113010509,3.7854845996819506,3.466900217896079,13.123897383479605,23.372855701311806,21-25%,Other
06113010508,2.77739414889111,3.488358124954201,9.68854544548456,14.581231079717458,11-15%,Other
06113010505,6.43201426040444,0.9621716239246819,6.188701606040052,6.912209889001009,6-10%,Other
06113010501,5.484341223093323,5.242939839608098,28.754071092560988,60.11604439959637,61-65%,Other
06113010402,3.6832749065235832,3.402392499909798,12.531946917061802,21.733097880928355,21-25%,Other
06113010401,6.993648454807611,3.021451919883032,21.130972550765456,44.26084762865792,41-45%,Other
06113010312,3.697220110264001,4.894999181561344,18.097889413794427,37.03329969727548,36-40%,Other
06113010310,4.904373220640164,4.048057209021913,19.85318337154643,41.35973763874874,41-45%,Other
06113010302,5.625278701569002,3.868779386526116,21.76296228409455,45.91321897073663,46-50%,Other
06113010204,6.47197907331429,7.192913403714418,46.55238502500158,86.69273461150352,86-90%,Other
06113010203,7.800174196272808,7.752468441777307,60.47060429697061,97.09889001009083,96-100%,Other
06113010201,6.995735483005054,5.213548365831706,36.47260529521188,73.27194752774975,71-75%,Other
06113010102,7.336983332110382,7.654943312022596,56.164191488559624,94.99243188698284,91-95%,Other
06113010101,5.6342426591256425,7.988838363604537,45.011053905080175,85.0151362260343,86-90%,Other
06111980000,1.2813159886082137,NA,NA,NA,NA,Other
06111009100,5.732279205327124,9.228950603218795,52.902921629822316,92.82290615539858,91-95%,Other
06111008900,3.3685218418314737,5.65801967596075,19.059162859986024,39.41725529767911,36-40%,Other
06111008800,2.5496179609803233,4.113517058862587,10.487896976075005,16.561553985872855,16-20%,Other
06111008700,3.995023664781429,8.019476279124993,32.03799751425766,65.90565085771948,66-70%,Other
06111008600,3.8865048591698397,7.6395800437347,29.69126496199185,61.69273461150353,61-65%,Other
06111008500,4.539704996068471,3.056525034456432,13.87572196953022,25.45408678102926,26-30%,Other
06111008402,3.8379839337536144,2.993175497570787,11.487759470581661,19.22300706357215,16-20%,Other
